Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Modena","resident population (absolute values)","total","75 years and over",21805,
"all items","total","all items","2011","Modena","resident population (absolute values)","total","total",179149,
"all items","total","all items","2011","Modena","resident population (percentage values)","total","until 4 years",4.67,
"all items","total","all items","2011","Modena","resident population (percentage values)","total","until 5 years",5.54,
"all items","total","all items","2011","Modena","resident population (percentage values)","total","65 years and over",23.31,
"all items","total","all items","2011","Modena","resident population (percentage values)","total","75 years and over",12.17,
"all items","total","all items","2011","Modena","resident population (percentage values)","total","85 years and over",3.82,
"all items","total","all items","2011","Modena","elder for child","total","total",4.21,
"all items","total","all items","2011","Modena","dependency ratio ","total","total",58.17,
"all items","total","all items","2011","Modena","ageing index ","total","total",173.07,
"all items","total","all items","2011","Modena","population aged 65 and over (percentage values)","females","65 years and over",58.62,
"all items","total","all items","2011","Modena","population aged 75 and over (percentage values)","females","75 years and over",62.58,
"all items","total","all items","2011","Modena","population aged 85 and over (percentage values)","females","85 years and over",70.12,
"all items","total","all items","2011","Modena","sex ratio","total","total",90.23,
"all items","total","all items","2011","Padova","resident population (absolute values)","females","until 4 years",4204,
"all items","total","all items","2011","Padova","resident population (absolute values)","females","total",109991,
"all items","total","all items","2011","Padova","resident population (absolute values)","total","until 4 years",8576,
"all items","total","all items","2011","Padova","resident population (absolute values)","total","until 5 years",10285,
"all items","total","all items","2011","Padova","resident population (absolute values)","total","65 years and over",51662,
"all items","total","all items","2011","Padova","resident population (absolute values)","total","75 years and over",26890,
"all items","total","all items","2011","Padova","resident population (absolute values)","total","total",206192,
"all items","total","all items","2011","Padova","resident population (percentage values)","total","until 4 years",4.16,
"all items","total","all items","2011","Padova","resident population (percentage values)","total","until 5 years",4.99,
"all items","total","all items","2011","Padova","resident population (percentage values)","total","65 years and over",25.06,
"all items","total","all items","2011","Padova","resident population (percentage values)","total","75 years and over",13.04,
"all items","total","all items","2011","Padova","resident population (percentage values)","total","85 years and over",4.05,
"all items","total","all items","2011","Padova","elder for child","total","total",5.02,
"all items","total","all items","2011","Padova","dependency ratio ","total","total",59.41,
"all items","total","all items","2011","Padova","ageing index ","total","total",205.18,
"all items","total","all items","2011","Padova","population aged 65 and over (percentage values)","females","65 years and over",60.74,
"all items","total","all items","2011","Padova","population aged 75 and over (percentage values)","females","75 years and over",64.72,
"all items","total","all items","2011","Padova","population aged 85 and over (percentage values)","females","85 years and over",71.75,
"all items","total","all items","2011","Padova","sex ratio","total","total",87.46,
"all items","total","all items","2011","Parma","resident population (absolute values)","females","until 4 years",3930,
"all items","total","all items","2011","Parma","resident population (absolute values)","females","total",93426,
"all items","total","all items","2011","Parma","resident population (absolute values)","total","until 4 years",8024,
"all items","total","all items","2011","Parma","resident population (absolute values)","total","until 5 years",9479,
"all items","total","all items","2011","Parma","resident population (absolute values)","total","65 years and over",41272,
"all items","total","all items","2011","Parma","resident population (absolute values)","total","75 years and over",21303,
"all items","total","all items","2011","Parma","resident population (absolute values)","total","total",175895,
"all items","total","all items","2011","Parma","resident population (percentage values)","total","until 4 years",4.56,
"all items","total","all items","2011","Parma","resident population (percentage values)","total","until 5 years",5.39,
"all items","total","all items","2011","Parma","resident population (percentage values)","total","65 years and over",23.46,
"all items","total","all items","2011","Parma","resident population (percentage values)","total","75 years and over",12.11,
"all items","total","all items","2011","Parma","resident population (percentage values)","total","85 years and over",3.75,
"all items","total","all items","2011","Parma","elder for child","total","total",4.35,
"all items","total","all items","2011","Parma","dependency ratio ","total","total",56.7,
"all items","total","all items","2011","Parma","ageing index ","total","total",184.46,
"all items","total","all items","2011","Parma","population aged 65 and over (percentage values)","females","65 years and over",59.13,
"all items","total","all items","2011","Parma","population aged 75 and over (percentage values)","females","75 years and over",63.21,
"all items","total","all items","2011","Parma","population aged 85 and over (percentage values)","females","85 years and over",70.18,
"all items","total","all items","2011","Parma","sex ratio","total","total",88.27,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","females","until 4 years",4233,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","females","total",84225,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","total","until 4 years",8753,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","total","until 5 years",10389,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","total","65 years and over",32305,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","total","75 years and over",16701,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","total","total",162082,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (percentage values)","total","until 4 years",5.4,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (percentage values)","total","until 5 years",6.41,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (percentage values)","total","65 years and over",19.93,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (percentage values)","total","75 years and over",10.3,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (percentage values)","total","85 years and over",3.31,
"all items","total","all items","2011","Reggio nell'Emilia","elder for child","total","total",3.11,
"all items","total","all items","2011","Reggio nell'Emilia","dependency ratio ","total","total",54.17,
"all items","total","all items","2011","Reggio nell'Emilia","ageing index ","total","total",131.09,
"all items","total","all items","2011","Reggio nell'Emilia","population aged 65 and over (percentage values)","females","65 years and over",58.63,
"all items","total","all items","2011","Reggio nell'Emilia","population aged 75 and over (percentage values)","females","75 years and over",63.38,
"all items","total","all items","2011","Reggio nell'Emilia","population aged 85 and over (percentage values)","females","85 years and over",70.86,
"all items","total","all items","2011","Reggio nell'Emilia","sex ratio","total","total",92.44,
"all items","total","all items","2011","Torino","resident population (absolute values)","females","until 4 years",18213,
"all items","total","all items","2011","Torino","resident population (absolute values)","females","total",459724,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","until 4 years",37711,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","until 5 years",45026,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","65 years and over",218045,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","75 years and over",110898,
"all items","total","all items","2011","Torino","resident population (absolute values)","total","total",872367,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","until 4 years",4.32,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","until 5 years",5.16,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","65 years and over",24.99,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","75 years and over",12.71,
"all items","total","all items","2011","Torino","resident population (percentage values)","total","85 years and over",3.28,
"all items","total","all items","2011","Torino","elder for child","total","total",4.84,
"all items","total","all items","2011","Torino","dependency ratio ","total","total",59.33,
"all items","total","all items","2011","Torino","ageing index ","total","total",204.14,
"all items","total","all items","2011","Torino","population aged 65 and over (percentage values)","females","65 years and over",58.83,
"all items","total","all items","2011","Torino","population aged 75 and over (percentage values)","females","75 years and over",62.62,
"all items","total","all items","2011","Torino","population aged 85 and over (percentage values)","females","85 years and over",70.55,
"all items","total","all items","2011","Torino","sex ratio","total","total",89.76,
"all items","total","all items","2011","Trieste","resident population (absolute values)","females","until 4 years",3641,
"all items","total","all items","2011","Trieste","resident population (absolute values)","females","total",107320,
"all items","total","all items","2011","Trieste","resident population (absolute values)","total","until 4 years",7589,
"all items","total","all items","2011","Trieste","resident population (absolute values)","total","until 5 years",9118,
"all items","total","all items","2011","Trieste","resident population (absolute values)","total","65 years and over",56749,
"all items","total","all items","2011","Trieste","resident population (absolute values)","total","75 years and over",29207,
"all items","total","all items","2011","Trieste","resident population (absolute values)","total","total",202123,
"all items","total","all items","2011","Trieste","resident population (percentage values)","total","until 4 years",3.75,
"all items","total","all items","2011","Trieste","resident population (percentage values)","total","until 5 years",4.51,
"all items","total","all items","2011","Trieste","resident population (percentage values)","total","65 years and over",28.08,
"all items","total","all items","2011","Trieste","resident population (percentage values)","total","75 years and over",14.45,
"all items","total","all items","2011","Trieste","resident population (percentage values)","total","85 years and over",4.76,
"all items","total","all items","2011","Trieste","elder for child","total","total",6.22,
"all items","total","all items","2011","Trieste","dependency ratio ","total","total",64.89,
"all items","total","all items","2011","Trieste","ageing index ","total","total",249.01,
"all items","total","all items","2011","Trieste","population aged 65 and over (percentage values)","females","65 years and over",60.25,
"all items","total","all items","2011","Trieste","population aged 75 and over (percentage values)","females","75 years and over",65.12,
"all items","total","all items","2011","Trieste","population aged 85 and over (percentage values)","females","85 years and over",73.27,
"all items","total","all items","2011","Trieste","sex ratio","total","total",88.34,
"all items","total","all items","2011","Venezia","resident population (absolute values)","females","until 4 years",4948,
"all items","total","all items","2011","Venezia","resident population (absolute values)","females","total",138722,
"all items","total","all items","2011","Venezia","resident population (absolute values)","total","until 4 years",10017,
"all items","total","all items","2011","Venezia","resident population (absolute values)","total","until 5 years",12041,
"all items","total","all items","2011","Venezia","resident population (absolute values)","total","65 years and over",71196,
"all items","total","all items","2011","Venezia","resident population (absolute values)","total","75 years and over",35780,
"all items","total","all items","2011","Venezia","resident population (absolute values)","total","total",261362,
"all items","total","all items","2011","Venezia","resident population (percentage values)","total","until 4 years",3.83,
"all items","total","all items","2011","Venezia","resident population (percentage values)","total","until 5 years",4.61,
"all items","total","all items","2011","Venezia","resident population (percentage values)","total","65 years and over",27.24,
"all items","total","all items","2011","Venezia","resident population (percentage values)","total","75 years and over",13.69,
"all items","total","all items","2011","Venezia","resident population (percentage values)","total","85 years and over",4.06,
"all items","total","all items","2011","Venezia","elder for child","total","total",5.91,
"all items","total","all items","2011","Venezia","dependency ratio ","total","total",64.43,
"all items","total","all items","2011","Venezia","ageing index ","total","total",228.11,
"all items","total","all items","2011","Venezia","population aged 65 and over (percentage values)","females","65 years and over",59.57,
"all items","total","all items","2011","Venezia","population aged 75 and over (percentage values)","females","75 years and over",64.1,
"all items","total","all items","2011","Venezia","population aged 85 and over (percentage values)","females","85 years and over",71.43,
"all items","total","all items","2011","Venezia","sex ratio","total","total",88.41,
"all items","total","all items","2011","Verona","resident population (absolute values)","females","until 4 years",5144,
"all items","total","all items","2011","Verona","resident population (absolute values)","females","total",133745,
"all items","total","all items","2011","Verona","resident population (absolute values)","total","until 4 years",10531,
"all items","total","all items","2011","Verona","resident population (absolute values)","total","until 5 years",12651,
"all items","total","all items","2011","Verona","resident population (absolute values)","total","65 years and over",61841,
"all items","total","all items","2011","Verona","resident population (absolute values)","total","75 years and over",31572,
"all items","total","all items","2011","Verona","resident population (absolute values)","total","total",252520,
"all items","total","all items","2011","Verona","resident population (percentage values)","total","until 4 years",4.17,
"all items","total","all items","2011","Verona","resident population (percentage values)","total","until 5 years",5.01,
"all items","total","all items","2011","Verona","resident population (percentage values)","total","65 years and over",24.49,
"all items","total","all items","2011","Verona","resident population (percentage values)","total","75 years and over",12.5,
"all items","total","all items","2011","Verona","resident population (percentage values)","total","85 years and over",3.75,
"all items","total","all items","2011","Verona","elder for child","total","total",4.89,
"all items","total","all items","2011","Verona","dependency ratio ","total","total",59.4,
"all items","total","all items","2011","Verona","ageing index ","total","total",191.67,
"all items","total","all items","2011","Verona","population aged 65 and over (percentage values)","females","65 years and over",60.06,
"all items","total","all items","2011","Verona","population aged 75 and over (percentage values)","females","75 years and over",64.45,
"all items","total","all items","2011","Verona","population aged 85 and over (percentage values)","females","85 years and over",71.52,
"all items","total","all items","2011","Verona","sex ratio","total","total",88.81,
"all items","total","all items","2011","Napoli","resident population (absolute values)","total","total",962003,
"all items","total","all items","2011","Roma","resident population (absolute values)","total","75 years and over",279837,
"all items","total","all items","2011","Roma","resident population (absolute values)","females","total",1387830,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","until 4 years",7492,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","65 years and over",22.4,
"all items","total","all items","2011","Taranto","elder for child","total","total",3.88,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","85 years and over",3.79,
"all items","total","all items","2011","Reggio di Calabria","population aged 65 and over (percentage values)","females","65 years and over",57.16,
"all items","total","all items","2011","Taranto","resident population (absolute values)","total","75 years and over",19096,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","until 4 years",14200,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","75 years and over",14.06,
"all items","total","all items","2011","Livorno","resident population (absolute values)","females","until 4 years",3172,
"all items","total","all items","2011","Firenze","population aged 75 and over (percentage values)","females","75 years and over",63.54,
"all items","total","all items","2011","Bari","resident population (percentage values)","total","65 years and over",21.32,
"all items","total","all items","2011","Perugia","ageing index ","total","total",165.88,
"all items","total","all items","2011","Taranto","resident population (absolute values)","females","total",104779,
"all items","total","all items","2011","Reggio di Calabria","resident population (absolute values)","total","until 5 years",9905,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","75 years and over",19646,
"all items","total","all items","2011","Palermo","resident population (percentage values)","total","85 years and over",2.14,
"all items","total","all items","2011","Palermo","elder for child","total","total",3.1,
"all items","total","all items","2011","Napoli","resident population (percentage values)","total","75 years and over",8.47,
"all items","total","all items","2011","Taranto","population aged 75 and over (percentage values)","females","75 years and over",63.12,
"all items","total","all items","2011","Palermo","resident population (absolute values)","total","total",657561,
"all items","total","all items","2011","Taranto","resident population (absolute values)","females","until 4 years",4213,
"all items","total","all items","2011","Napoli","dependency ratio ","total","total",50.7,
"all items","total","all items","2011","Taranto","population aged 65 and over (percentage values)","females","65 years and over",58.22,
"all items","total","all items","2011","Reggio di Calabria","resident population (absolute values)","total","total",180817,
"all items","total","all items","2011","Messina","population aged 65 and over (percentage values)","females","65 years and over",58.81,
"all items","total","all items","2011","Livorno","population aged 85 and over (percentage values)","females","85 years and over",68.42,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","until 5 years",5.01,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","65 years and over",25,
"all items","total","all items","2011","Roma","resident population (absolute values)","total","until 5 years",144350,
"all items","total","all items","2011","Messina","resident population (absolute values)","total","total",243262,
"all items","total","all items","2011","Ravenna","elder for child","total","total",4.42,
"all items","total","all items","2011","Bari","resident population (absolute values)","total","total",315933,
"all items","total","all items","2011","Napoli","sex ratio","total","total",90.15,
"all items","total","all items","2011","Bari","resident population (absolute values)","total","until 4 years",12770,
"all items","total","all items","2011","Palermo","ageing index ","total","total",119.31,
"all items","total","all items","2011","Reggio di Calabria","resident population (absolute values)","females","until 4 years",4008,
"all items","total","all items","2011","Livorno","population aged 75 and over (percentage values)","females","75 years and over",62.23,
"all items","total","all items","2011","Bari","ageing index ","total","total",163.25,
"all items","total","all items","2011","Roma","resident population (percentage values)","total","until 5 years",5.52,
"all items","total","all items","2011","Napoli","resident population (absolute values)","total","65 years and over",172710,
"all items","total","all items","2011","Napoli","ageing index ","total","total",114.42,
"all items","total","all items","2011","Taranto","resident population (percentage values)","total","until 5 years",5.3,
"all items","total","all items","2011","Messina","resident population (percentage values)","total","85 years and over",2.89,
"all items","total","all items","2011","Reggio di Calabria","resident population (percentage values)","total","until 4 years",4.58,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","85 years and over",3.44,
"all items","total","all items","2011","Taranto","resident population (percentage values)","total","until 4 years",4.37,
"all items","total","all items","2011","Bologna","resident population (absolute values)","total","total",371337,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","75 years and over",50343,
"all items","total","all items","2011","Livorno","resident population (absolute values)","females","total",82390,
"all items","total","all items","2011","Messina","ageing index ","total","total",149.1,
"all items","total","all items","2011","Bologna","resident population (percentage values)","total","65 years and over",26.64,
"all items","total","all items","2011","Firenze","elder for child","total","total",5.52,
"all items","total","all items","2011","Ravenna","resident population (absolute values)","females","until 4 years",3373,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","until 5 years",4.76,
"all items","total","all items","2011","Palermo","population aged 85 and over (percentage values)","females","85 years and over",70.05,
"all items","total","all items","2011","Perugia","population aged 85 and over (percentage values)","females","85 years and over",70.42,
"all items","total","all items","2011","Perugia","resident population (absolute values)","females","total",85551,
"all items","total","all items","2011","Roma","resident population (percentage values)","total","65 years and over",21.85,
"all items","total","all items","2011","Firenze","population aged 85 and over (percentage values)","females","85 years and over",70.25,
"all items","total","all items","2011","Palermo","resident population (percentage values)","total","65 years and over",17.79,
"all items","total","all items","2011","Roma","population aged 75 and over (percentage values)","females","75 years and over",62.37,
"all items","total","all items","2011","Firenze","population aged 65 and over (percentage values)","females","65 years and over",60.02,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","75 years and over",18672,
"all items","total","all items","2011","Palermo","resident population (absolute values)","total","75 years and over",55104,
"all items","total","all items","2011","Bari","resident population (percentage values)","total","85 years and over",2.6,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","until 4 years",6531,
"all items","total","all items","2011","Messina","resident population (percentage values)","total","65 years and over",20.09,
"all items","total","all items","2011","Roma","resident population (absolute values)","total","total",2617175,
"all items","total","all items","2011","Bari","dependency ratio ","total","total",52.38,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","until 4 years",3.97,
"all items","total","all items","2011","Ravenna","population aged 65 and over (percentage values)","females","65 years and over",57.22,
"all items","total","all items","2011","Perugia","resident population (absolute values)","females","until 4 years",3591,
"all items","total","all items","2011","Ravenna","resident population (percentage values)","total","85 years and over",3.54,
"all items","total","all items","2011","Taranto","resident population (percentage values)","total","85 years and over",2.52,
"all items","total","all items","2011","Roma","population aged 85 and over (percentage values)","females","85 years and over",69.38,
"all items","total","all items","2011","Ravenna","resident population (percentage values)","total","until 4 years",4.49,
"all items","total","all items","2011","Taranto","resident population (absolute values)","total","65 years and over",41203,
"all items","total","all items","2011","Taranto","population aged 85 and over (percentage values)","females","85 years and over",66.77,
"all items","total","all items","2011","Bari","resident population (absolute values)","total","75 years and over",32509,
"all items","total","all items","2011","Livorno","elder for child","total","total",4.99,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","until 5 years",5.56,
"all items","total","all items","2011","Reggio di Calabria","resident population (percentage values)","total","75 years and over",9.58,
"all items","total","all items","2011","Palermo","population aged 75 and over (percentage values)","females","75 years and over",63.86,
"all items","total","all items","2011","Bologna","resident population (absolute values)","total","65 years and over",98920,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","until 5 years",7873,
"all items","total","all items","2011","Palermo","resident population (absolute values)","total","until 4 years",31254,
"all items","total","all items","2011","Firenze","resident population (absolute values)","females","total",192048,
"all items","total","all items","2011","Roma","ageing index ","total","total",162.63,
"all items","total","all items","2011","Napoli","resident population (percentage values)","total","65 years and over",17.95,
"all items","total","all items","2011","Roma","resident population (percentage values)","total","85 years and over",2.84,
"all items","total","all items","2011","Reggio di Calabria","resident population (absolute values)","total","75 years and over",17319,
"all items","total","all items","2011","Bologna","resident population (percentage values)","total","85 years and over",4.77,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","until 5 years",17037,
"all items","total","all items","2011","Napoli","population aged 65 and over (percentage values)","females","65 years and over",59.91,
"all items","total","all items","2011","Bari","population aged 85 and over (percentage values)","females","85 years and over",66.65,
"all items","total","all items","2011","Taranto","dependency ratio ","total","total",52.51,
"all items","total","all items","2011","Bari","resident population (percentage values)","total","until 5 years",4.89,
"all items","total","all items","2011","Bari","sex ratio","total","total",91.29,
"all items","total","all items","2011","Reggio di Calabria","resident population (absolute values)","total","65 years and over",34802,
"all items","total","all items","2011","Messina","resident population (absolute values)","females","total",126912,
"all items","total","all items","2011","Ravenna","resident population (absolute values)","total","65 years and over",36540,
"all items","total","all items","2011","Napoli","resident population (absolute values)","total","until 5 years",56572,
"all items","total","all items","2011","Perugia","population aged 75 and over (percentage values)","females","75 years and over",61.86,
"all items","total","all items","2011","Bologna","resident population (absolute values)","total","75 years and over",54294,
"all items","total","all items","2011","Palermo","resident population (percentage values)","total","until 5 years",5.74,
"all items","total","all items","2011","Messina","resident population (absolute values)","total","75 years and over",24743,
"all items","total","all items","2011","Bologna","resident population (absolute values)","total","until 4 years",14900,
"all items","total","all items","2011","Reggio di Calabria","population aged 75 and over (percentage values)","females","75 years and over",61.43,
"all items","total","all items","2011","Bari","resident population (absolute values)","females","total",165163,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","total",358079,
"all items","total","all items","2011","Napoli","resident population (percentage values)","total","85 years and over",2.12,
"all items","total","all items","2011","Taranto","resident population (percentage values)","total","75 years and over",9.54,
"all items","total","all items","2011","Reggio di Calabria","resident population (absolute values)","total","until 4 years",8276,
"all items","total","all items","2011","Palermo","resident population (absolute values)","females","total",344390,
"all items","total","all items","2011","Roma","resident population (absolute values)","total","until 4 years",120046,
"all items","total","all items","2011","Bologna","sex ratio","total","total",86.68,
"all items","total","all items","2011","Ravenna","population aged 85 and over (percentage values)","females","85 years and over",67.23,
"all items","total","all items","2011","Bologna","resident population (percentage values)","total","until 5 years",4.77,
"all items","total","all items","2011","Ravenna","dependency ratio ","total","total",57.91,
"all items","total","all items","2011","Messina","resident population (absolute values)","total","until 4 years",10496,
"all items","total","all items","2011","Firenze","resident population (absolute values)","females","until 4 years",6757,
"all items","total","all items","2011","Perugia","elder for child","total","total",4.03,
"all items","total","all items","2011","Taranto","sex ratio","total","total",91.02,
"all items","total","all items","2011","Reggio di Calabria","dependency ratio ","total","total",50.14,
"all items","total","all items","2011","Roma","dependency ratio ","total","total",54.54,
"all items","total","all items","2011","Bari","elder for child","total","total",4.36,
"all items","total","all items","2011","Messina","sex ratio","total","total",91.68,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","until 5 years",9034,
"all items","total","all items","2011","Ravenna","resident population (percentage values)","total","75 years and over",12.28,
"all items","total","all items","2011","Palermo","sex ratio","total","total",90.93,
"all items","total","all items","2011","Messina","resident population (percentage values)","total","until 5 years",5.17,
"all items","total","all items","2011","Reggio di Calabria","sex ratio","total","total",91.88,
"all items","total","all items","2011","Bologna","resident population (absolute values)","females","total",198915,
"all items","total","all items","2011","Messina","population aged 85 and over (percentage values)","females","85 years and over",70.12,
"all items","total","all items","2011","Messina","population aged 75 and over (percentage values)","females","75 years and over",63.13,
"all items","total","all items","2011","Messina","elder for child","total","total",3.89,
"all items","total","all items","2011","Livorno","population aged 65 and over (percentage values)","females","65 years and over",58.41,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","until 4 years",4.61,
"all items","total","all items","2011","Messina","dependency ratio ","total","total",50.53,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","until 4 years",4.16,
"all items","total","all items","2011","Palermo","resident population (absolute values)","total","65 years and over",116969,
"all items","total","all items","2011","Ravenna","sex ratio","total","total",92.54,
